sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,english_text
3827,438640,ja,きょうのキラ君,28.92,2/25/2017,7.9,58,"['Romance', 'Drama']","Nino is a quiet outcast with only a bird for a friend. Kira is a popular boy with a big secret. Even though they live next to each other, they have never spoken. But when Nino learns Kira's secret, everything begins to change, and what starts as a hesitant friendship grows into something more… but how long can it last?",$0.00,109,,Today's Kira
3882,16221,ja,どろろ,18.955,3/15/2007,7.0,94,"['Action', 'Fantasy', 'Horror', 'Science Fiction']","Hyakkimaru, a warrior on a quest to reclaim 48 of his body parts which were each taken by a demon, is joined by Dororo, a thief on a quest to avenge the death of her parents.",$0.00,139,"Fueled by hate, entwined by fate... their paths begin to unravel.",Darling
3941,10494,ja,パーフェクトブルー,17.095,7/25/1997,8.3,1460,"['Animation', 'Thriller']",A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,"$112,536.00",81,The color of illusion is Perfect Blue.,Perfect blue
4108,430447,ja,メアリと魔女の花,23.636,7/8/2017,7.1,585,"['Fantasy', 'Adventure', 'Animation']","Mary Smith, a young girl who lives with her great-aunt in the countryside, follows a mysterious cat into the nearby forest where she finds a strange flower and an old broom, none of which is as ordinary as it seems.",$0.00,103,,Mary and witch flowers
4152,196761,ja,ハル,21.614,6/8/2013,6.8,72,"['Animation', 'Romance']","Kurumi’s heart was broken by the sudden death of her boyfriend in a tragic airplane accident. By melding futuristic technology with the binary equivalent of human emotion, a brilliant scientist created an ultra-lifelike robotic surrogate to take Hal’s place – and lure Kurumi from her shroud of solitude.",$0.00,60,,Spring
4195,129743,ja,アナザー,19.508,8/4/2012,6.1,36,"['Horror', 'Thriller', 'Mystery']","After a chain of deaths at a junior high school, new transfer student Koichi Sakakibara turns to a mysterious girl who holds the key to the dark mystery.",$0.00,109,,another
4212,505192,ja,万引き家族,17.376,6/2/2018,7.9,1430,['Drama'],"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.",$0.00,121,,Shoplifting family
4230,11645,ja,乱,19.15,6/1/1985,8.1,1026,"['Action', 'Drama', 'History']","With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.","$11,859,533.00",160,The Greatest Shakespeare Film.,Turbulence
4245,27812,ja,カクレンボ,17.636,3/3/2005,5.9,33,"['Animation', 'Horror']","Among the ruins of the city, there is a game only children can play. It is called “Otokoyo”; a game of hide-and-seek. But whenever children play this game, one by one they would disappear into the blinds of the buildings… The story begins when a boy enters the world of Otokoyo, to find his missing sister.",$0.00,25,,Kakurenbo
4311,747988,ja,君は永遠にそいつらより若い,22.457,9/17/2021,0.0,0,['Drama'],"Horigai spends her boring days waiting to graduate from college. As she hangs out with friends, she begins to realize the violence and sorrow behind their ordinary lives.",$0.00,118,,You are younger than you guys forever
4432,346,ja,七人の侍,25.543,4/26/1954,8.5,2426,"['Action', 'Drama']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","$271,842.00",207,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,Seven samurai
4525,149871,ja,かぐや姫の物語,17.739,11/23/2013,8.1,1224,"['Animation', 'Drama', 'Fantasy']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate, the punishment for her crime.","$24,366,656.00",137,A princess's crime and punishment,The story of Princess Kaguya
4580,276624,ja,アイアムアヒーロー,18.711,4/23/2016,7.3,236,"['Action', 'Science Fiction', 'Fantasy', 'Horror']","Hideo Suzuki is a 35-year-old mangaka assistant, whose life seem to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, has low self-esteem, resulting in frustration. One day, the world as Hideo knows it is shattered by the presence of a disease that turns people into homicidal maniacs, whose first instinct is to attack and devour the nearest human.",$0.00,126,Welcome to ZQN World,I am a hero
4725,548,ja,羅生門,17.333,8/26/1950,8.2,1485,"['Crime', 'Drama', 'Mystery']","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.","$96,568.00",88,"The husband, the wife… or the bandit?",Rashimon
4829,9606,ja,メトロポリス,20.536,5/26/2001,7.0,310,"['Animation', 'Science Fiction']","Kenichi and his detective uncle, Shunsaku Ban, leave Japan to visit Metropolis, in search of the criminal, Dr. Laughton. However, when they finally find Dr. Laughton, Kenichi and Shunsaku find themselves seperated and plunged into the middle of a larger conspiracy. While Shunsaku searches for his nephew and explanations, Kenichi tries to protect Tima (a mysterious young girl), from Duke Red and his adopted son Rock, both of whom have very different reasons for wanting to find her.","$4,035,192.00",108,Welcome to Metropolis,metropolis
4840,225145,ja,ガッチャマン,19.635,8/24/2013,4.9,10,"['Action', 'Adventure', 'Science Fiction']","By the year 2050 AD, a mysterious organization called Galactor has occupied half of the Earth and threatens to exterminate the human race. Around the same time, the International Science Organization had uncovered mysterious stones that bear unusual powers.  It is said that one person out of approximately eight million is able to harness the power of the stones; they are known as a ""Receptor"". Dr. Kozaburo Nambu gathers a team of these five lucky Receptors together. Known as the ""Gatchaman"" team, it is their mission to defeat Galactor.",$0.00,113,,Gatchaman
4944,485942,ja,ニンジャバットマン,14.997,3/24/2018,5.8,715,"['Animation', 'Action']","Batman, along with many of his allies and adversaries, finds himself transported to feudal Japan by Gorilla Grodd's time displacement machine.",$0.00,85,,Ninja Batman
4975,83389,ja,コクリコ坂から,16.271,7/16/2011,7.6,1207,"['Animation', 'Drama']","A group of Yokohama students fight to save their school's clubhouse from the wrecking ball during preparations for the 1964 Tokyo Olympic Games. While working there, Umi and Shun gradually become attracted to each other but have to face a sudden trial. Even so, they keep going without fleeing the difficulties of reality.","$61,037,844.00",91,I look up as I walk...,From Kokurikozaka
5027,40713,ja,恋空,16.994,11/3/2007,7.8,123,"['Romance', 'Drama']","During her freshman year in high school, Mika Tahara (Yui Aragaki) loses her cellular phone, but later finds it in the school library with the help of an unknown caller. Throughout the summer, Mika and the mysterious caller continue to communicate, and agree to meet each other once school starts again. The caller turns out to be Hiro (Haruma Miura), a delinquent-like boy Mika is initially afraid of, who shows proof of his identity as the caller with a photo of the sky on his cellular phone.","$44,038,000.00",129,,Love of love
5341,68449,ja,グラップラー刃牙,17.221,8/21/1994,6.0,12,"['Animation', 'Action']","Baki, a new grappler on the no-holds barred fighting scene, is flying up the ranks. All that is left in his wake are the dead and the defeated. However, no one can tell whether he can keep this up against the previous champion, a fierce fighter who severs his opponents very nerves to win.",$0.00,45,,Grappler blade
5352,442987,ja,僕らのごはんは明日で待ってる,12.015,1/7/2017,6.3,5,"['Drama', 'Romance']","A 7 year love story between Ryota Hayama and Koharu Uemura from their first date to eventual marriage.  Ryota and Koharu are high school students. Ryota is indifferent to people and says very little. Koharu is not afraid of to speak her mind and she has a bright personality. Since a game of rice bag jump, they begin to date. They date at a fast-food restaurant, realize they love each other at a family restaurant and finally swear their love on a dining table with white rice.",$0.00,109,,Our rice is waiting tomorrow
5353,429918,ja,サバイバルファミリー,13.544,2/11/2017,7.4,61,"['Comedy', 'Family']",A world wide electrical outage occurs. Everything that requires electricity comes to a stop. Tokyo is nearly ruined. Yoshiyuki Suzuki decides to escape from Tokyo with his family.,$0.00,117,,Survival family
5412,417760,ja,一週間フレンズ,16.222,2/18/2017,7.0,38,"['Romance', 'Drama']","High school student Yuki Hase (Kento Yamazaki) wants to become close with classmate Kaori Fujimiya (Haruna Kawaguchi) who is alway by herself. Kaori Fujimiya refuses to become close with Yuki Hase, because she forgets her friends every new Monday. Even though Kaori tells Yuki why she doesn't want to become friends, Yuki still wants to become close to her.",$0.00,120,,One week Friends
5568,315011,ja,シン・ゴジラ,17.765,7/29/2016,7.0,752,"['Action', 'Science Fiction', 'Horror']","When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.","$77,947,607.00",120,A god incarnate. A city doomed.,Shin Godzilla
5611,8953,ja,スチームボーイ,17.488,7/17/2004,6.8,265,"['Animation', 'Fantasy', 'Science Fiction']","After receiving a package from his grandfather, Ray, a young inventor who lives in England during the mid-19th century, finds himself caught in the middle of a deadly conflict related to a revolutionary advance in steam power.","$18,900,000.00",105,He will save the future.,Steam boy
5622,426284,ja,無限の住人,18.244,4/29/2017,6.5,369,"['Action', 'Drama', 'Fantasy']","Manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. Haunted by the brutal murder of his sister, Manji knows that only fighting evil will regain his soul. He promises to help a young girl named Rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior Anotsu. The mission will change Manji in ways he could never imagine.","$150,532.00",140,His path is paved in blood.,Infinite resident
5626,758866,ja,ドライブ・マイ・カー,15.097,8/18/2021,7.3,63,['Drama'],"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanja at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled.",$0.00,179,,Drive my car
5632,243914,ja,熱風海陸ブシロード,16.324,12/30/2013,6.5,3,"['Animation', 'Action', 'Science Fiction', 'Adventure']","A restart of ""Neppu Kairiku Bushi Lord"", a previously stalled mecha mixed-media project. The anime will air this fall under the new name ""Neppu Kairiku Bushi Road"", as a collaboration between Bushiroad, video distributor Bandai Visual, software company Nitroplus, and anime studio Kinema Citrus.",$0.00,90,,Hot World Sea Land Village
5655,520576,ja,恋は雨上がりのように,16.265,5/25/2018,7.6,26,"['Romance', 'Drama']","Akira Tachibana is a 17-year-old high school student. She was once a promising athlete, but an injury has prevented her from taking part in track and field. One day, Akira Tachibana goes to a family restaurant and the manager talks to her in a tender voice. This makes Akira Tachibana begin working part-time at the restaurant. The manager is 45-year-old Masami Kondo and he is divorced with a child. Akira Tachibana falls in love with him. --asianwiki",$0.00,111,,Love is like after the rain
5713,520541,ja,ニセコイ,20.862,12/21/2018,7.6,30,"['Romance', 'Comedy']","Raku Ichijo (Kento Nakajima) is an only son and a high school student. His father is the leader of yakuza group Shuei-gumi. Raku Ichijo doesn't like to fight and he studies hard. His dream is to become a public official. One day, he passes the entrance gate at his high school and is kicked inadvertently by Chitoge Kirisaki (Ayami Nakajo). She is a new transfer student at the school. Chitoge Kirisaki is the only daughter of a rival gang leader. To keep the peace between the rival gangs led by their fathers, Raku Ichijo and Chitoge Kirisaki decide to act as boyfriend and girlfriend. --asianwiki",$0.00,117,,Nisekoi
5778,252391,ja,魔女の宅急便,15.196,3/1/2014,6.6,34,"['Adventure', 'Comedy', 'Fantasy', 'Mystery']","A young girl named Kiki (Fuka Koshiba) must leave her home for a year to begin training in witchcraft. She leaves on her broom, but first says goodbye to her friends and family. Kiki then begins her new life with her trusted cat Jiji.",$0.00,108,,Kiki's Delivery Service
5788,452200,ja,人妻変態美容師,13.915,1/14/1994,0.0,0,[],This routine effort from cult pinku-eiga director Hisayasu Sato centers around a divorcée who opens a beauty parlor and begins selling sexual services to boost her business.,$0.00,60,,Married woman perverted hairdresser
5843,432985,ja,銀魂,15.762,7/14/2017,6.7,62,"['Action', 'Adventure', 'Comedy', 'Science Fiction']","In an era where aliens have invaded and taken over feudal Tokyo, a young samurai finds work however he can.",$0.00,130,,Ginten
5863,64246,ja,カラフル,21.137,8/21/2010,7.3,187,"['Animation', 'Drama', 'Family']","Upon reaching the train station to death, a dejected soul is informed that he is lucky and will have another chance at life. He is placed in the body of a 14-year-old boy named Kobayashi Makoto, who has just committed suicide. Watched over by a neutral spirit named Purapura, the soul must figure out what his greatest sin and mistake in his former life was, before his time limit in Makoto's body runs out. He also has a number of other lesser duties he must complete, such as understanding what led Makoto to commit suicide in the first place and learning how to enjoy his second chance at life.",$0.00,127,,colorful
5888,234284,ja,イヴの時間,12.916,3/6/2010,7.3,93,"['Animation', 'Science Fiction', 'Drama']","In the not-too-distant future, androids have come into common usage. However, treating androids on the same level as humans is frowned upon, and there is constant paranoia surrounding the possibility of robots defying humans, their masters. Those who appear too trustworthy of their androids are chided and labeled as ""android-holics.""
 Rikuo Sakisaka, who has taken robots for granted for his entire life, one day discovers that Sammy, his home android, has been acting independently and coming and going on her own. He finds a strange phrase recorded in her activity log, ""Are you enjoying the Time of Eve?"". He, along with his friend Masakazu Masaki, traces Sammy's movements and finds an unusual cafe. Nagi, the barista, informs them that the cafe's main rule is to not discriminate between humans and androids.
 While Rikuo tries to reveal Sammy's intentions, he begins to question the legitimacy of the fear that drives humans to regard androids as nothing more than mere tools.",$0.00,106,,Eve time
5969,37933,ja,ゲド戦記,19.095,7/29/2006,6.6,970,"['Animation', 'Fantasy', 'Adventure']","Something bizarre has come over the land. The kingdom is deteriorating. People are beginning to act strange... What's even more strange is that people are beginning to see dragons, which shouldn't enter the world of humans. Due to all these bizarre events, Ged, a wandering wizard, is investigating the cause. During his journey, he meets Prince Arren, a young distraught teenage boy. While Arren may look like a shy young teen, he has a severe dark side, which grants him strength, hatred, ruthlessness and has no mercy, especially when it comes to protecting Teru. For the witch Kumo this is a perfect opportunity. She can use the boy's ""fears"" against the very one who would help him, Ged.","$68,625,104.00",115,"Once Man and Dragon were one. Man chose Land and Sea, Dragon chose Wind and Fire.",Tales from Earthsea
5983,304023,ja,楽園追放,16.092,11/15/2014,6.5,50,"['Action', 'Animation', 'Science Fiction']","A.D. 2400, DEVA's central council detects an incident of unauthorized access into their mainframe. Someone on Earth was trying to hack into the system. The only information DEVA was able to retrieve was that hacker referred to themselves as ""Frontier Setter.""  To investigate the mysterious hacker's motives, the high officials of DEVA dispatch system Security Third Officer Angela Balzac to the Earth's surface. Equipped with a prosthetic ""material body,"" Angela attempts to make contact with a local agent Dingo, but what awaited her instead was a swarm of Sandworms now infesting the Earth's surface. Angela intercepts the gruesome pests with her exoskeleton powered suit Arhan.",$0.00,104,Where did humanity come from?,Expulsion of paradise
6037,16990,ja,エスカフローネ,13.945,6/24/2000,6.9,96,"['Animation', 'Adventure', 'Drama', 'Fantasy']","Gaea is a mythical realm ruled by sword and sorcery and immersed in blood and violence. Thrust into a conflict she doesn't quite understand, Hitomi Kanzaki helps aid the young Prince Van as they embark upon a journey to fight the Black Dragon Clan. The battle over a legendary suit of dragon armor, Escaflowne, has begun.",$0.00,98,One will wake it. One will destroy it.,Esca Frone
6191,39228,ja,機動戦士ガンダム,15.114,3/14/1981,6.8,37,"['Animation', 'Science Fiction', 'Action', 'Adventure', 'Drama', 'War']","In the year Universal Century 0079, humans have colonized the area of space lying in between the Earth and the moon. However the ambitious Zabi family, rulers of the Duchy of Zeon (the grouping of colonies furthest from the earth) has sparked a war.",$0.00,139,,Mobile Suit Gundam
6197,394315,ja,少女椿,12.858,5/21/2016,7.3,20,"['Drama', 'Horror']","14-year-old Midori is the constantly abused chore girl for a freakshow. Things begin to change for her after a dwarf magician joins the freak show, but not always for the better.",$0.00,91,,Girl camellia
6217,2671,ja,リング,13.494,1/30/1998,7.1,927,"['Horror', 'Thriller']","A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger.","$8,690,429.00",96,"One curse, one cure, one week to find it",ring
6240,470639,ja,僕は妹に恋をする,14.008,5/18/2005,5.7,9,"['Romance', 'Animation', 'Drama']","Yori and his twin sister Iku used to be very close as children but lately Yori has grown colder toward Iku and is always eager to stay away from her. Iku was confused by Yori's attitude. Actually Yori is in love with Iku and that forbidden love is causing Yori sleepless nights since Yori and Iku are sharing the same room with bunk beds. Yori tried to ease his intense desire for Iku by bedding Iku's best friend. He had even applied to attend a boarding school in another city to take him far away from Iku. Yori lost his resolve to stay quiet about his feelings when Iku started to talk about having a boyfriend and going on dates. Now Yori want to have his little sister and he confessed. Iku loves her big brother and wanted them to stay together, so Iku is willing to anything to keep them together. But Yori wanted to have Iku as a lover, not as a sister loyal to her twin.",$0.00,50,,I fall in love with my sister
6304,11838,ja,呪怨,13.966,10/18/2002,6.8,533,['Horror'],"Volunteer home-care worker Rika is assigned to visit a family, she is cursed and chased by two revengeful fiends: Kayako, a woman brutally murdered by her husband and her son Toshio. Each person that lives in or visits the haunted house is murdered or disappears.","$325,680.00",92,When a grudge from the dead passes to the living - Who is safe?,Grudge
6346,15080,ja,おもひでぽろぽろ,13.203,7/20/1991,7.3,711,"['Animation', 'Drama', 'Romance']","It’s 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, where she begins to reconnect to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.","$473,110.00",118,I’m going on a trip with Me,Omohide Poroporo
6418,438553,ja,ハルチカ,11.524,3/4/2017,6.3,11,"['Drama', 'Music', 'Romance']","Haruta is handsome and smart, Chika is bright and naive. When they were children, they were friends until Haruta's family moved away while he was in the 3rd grade. They meet again during a high school entrance ceremony. After all of these years, Chika is eager to join the wind instrument club. Due to an incident, the wind instrument club is about to be disbanded. Chika can't give up the flute so she attracts Haruta to her side and tries to recruit members from the wind instrument club. The group attempts to solve various cases taking place at their school while they plan to take part in a contest.",$0.00,118,,Hartika
6419,513367,ja,透明変態人間,10.189,12/4/2013,0.0,0,[],"Hideo rescues a Chinese guy being picked on by punks on the street, and the guy gives him a small bottle in gratitude, which contained a magical formula that makes one’s body transparent for only 3 minutes. As soon as he becomes transparent, Hideo goes to see a naked Maria, his fellow part-time worker. While he enjoys the life of an invisible man, another invisible man mysteriously appears to seduce her. To keep her from this stranger, Hideo goes for his once-a-lifetime challenge. A furious battle between two invisible men begins!",$0.00,74,,Transparent perverted human
6421,5879,ja,愛のコリーダ,17.184,5/15/1976,6.5,388,"['Drama', 'Romance']","A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",$0.00,105,,Corridor of love
6423,1680,ja,キングコング対ゴジラ,12.434,8/11/1962,6.7,207,"['Action', 'Adventure', 'Science Fiction']","Japanese-Release Version. Tako, advertising director of Pacific Pharmaceuticals, is frustrated with the low ratings of their sponsored TV program and seeks a more sensationalist approach. He orders his staff off to Faro Island, capturing King Kong to exploit for marketing. As Godzilla re-emerges, a media frenzy generates with Tako looking to capitalize off of the ultimate wrestling match.","$12,550,000.00",97,"Will you win, Godzilla? Will you win, Kong? The battle of the century!",King Kong vs Godzilla
6425,375509,ja,コープスパーティー,12.37,8/1/2015,5.2,31,"['Horror', 'Mystery', 'Science Fiction']","Facing goodbyes and graduation, Naomi Nakashima, her childhood friend Satoshi Mochida, and their classmates, are clearing up after their last ever cultural festival, when horror buff class representative Ayumi Shinozaki decides to perform Sachiko Ever After so they will stay friends forever. Instead, they were whisked away to a haunted graduation ceremony for Heavenly Host Elementary School, forced to close after a series of gruesome murders. What fate awaits Naomi and her friends at the cursed school...?",$0.00,93,,Corpse Party
6507,38582,ja,ゴジラ対メカゴジラ,11.156,3/20/1974,7.1,155,"['Action', 'Science Fiction']","An Okinawan prophecy that foretells the destruction of the Earth is seeming fulfilled when Godzilla emerges to return to his destructive roots. But not all is what it seems after Godzilla breaks his ally Anguirus's jaw. Matters are further complicated when a second Godzilla emerges, revealing the doppelgänger as a mechanical weapon.","$1,330,000.00",84,"Flying through space and firing missiles! A dreadful Godzilla, whose whole body is a weapon, appears!",Godzilla vs mechagodzilla
6543,579741,ja,サイダーのように言葉が湧き上がる,13.072,11/3/2020,7.4,96,"['Animation', 'Romance', 'Music', 'Drama']","After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer.",$0.00,87,,Words spring up like cider
6590,14282,ja,獣兵衛忍風帖,13.827,6/5/1993,7.8,396,"['Fantasy', 'Adventure', 'Animation']","Jubei is a masterless ninja who travels the land alone, lending his services to those with gold—or a worthy cause. His fearsome abilities have served him well, but a plot to overthrow the government threatens to end his wandering ways—and possibly his life.",$0.00,94,"Feudal Japan—a time of danger, intrigue and deception . . .",Beastbe Ninpocho
6673,4977,ja,パプリカ,12.602,10/1/2006,7.8,1516,"['Animation', 'Drama', 'Mystery', 'Science Fiction', 'Thriller', 'Fantasy']","When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it: Paprika.","$944,915.00",90,This is your brain on anime,paprika
6677,85398,ja,千夜一夜物語,13.251,6/14/1969,6.8,30,"['Animation', 'Drama', 'Fantasy']","Beautifully constructed, 1001 Nights stays true to the lush and mysterious backdrop of the well known and age old story. Tezuka remolds the story into an escapist fantasy where a 60s-era working man is transported back to an era of entirely fictitious Arabian details. Seemingly at odds with itself, 1001 Nights consistently unfolds in a way that combines Playboy graphics, Arabian rug design and traditional Japanese scroll paintings.  Sound like a strange mix? You bet and along the way we experience some of the great cultural juxtapositions that makes Tezuka the unpredictable style it is.  Source: MAL",$0.00,128,,Thousands and one night story
6776,511617,ja,伯林漂流,13.011,9/10/2017,5.7,6,['Drama'],"Kôichi is a Japanese man living alone in Berlin. He has no job and hardly any friends. One night Kôichi meets Ryota at a bar which is also a sex club. Ryota came to Berlin to visit a German guy whom he had ""met"" on a dating app. His high hopes for romance (and marriage?) were quickly crushed since the German was only interested in sex, not even letting Ryota stay for the night. That is why Ryota ended up spending the night in the dark room of the sex club. Kôichi for some reason lets Ryota stay at his apartment. They have sex. Ryota goes out almost everyday to get laid by various local men and comes home to Kôichi's. Increasingly caught up with a strange feeling that is akin to but not quite frustration or curiosity (needless to say, it is not even close to love), Kôichi gradually gives himself up to sex with Ryota.",$0.00,123,,Drifting
6884,100271,ja,ももへの手紙,12.793,4/21/2012,7.5,263,"['Comedy', 'Fantasy', 'Animation', 'Drama', 'Family']","Clinging to an unfinished letter written by her recently deceased father, young Momo moves with her mother from bustling Tokyo to the remote Japanese island of Shio. Upon their arrival, she begins to explore her new habitat, meeting local children and learning their routines and customs. However, it's not long before several bizarre occurrences crop up around the previously tranquil island. Orchards are found ransacked, prized trinkets start disappearing and, worst of all, each morning after her mother leaves for work, Momo hears strange mumblings coming from the attic of their home. Annoyed by these creepy goings-on and her mother's refusal to believe them, Momo embarks on a strange and supernatural adventure to discover the source of the mischief, which leads her to a trio of troublesome imps: the flatulent lizard Kawa, the childlike Mame and their hulking ogre leader Iwa. Momo also learns that her visit to the island is in some way connected to her father's mysterious letter.","$6,748,712.00",120,,Letter to Momo
6887,21057,ja,海がきこえる,12.789,5/5/1993,6.3,564,"['Romance', 'Animation', 'Drama', 'TV Movie']","At Kichijōji Station, Tokyo, Taku Morisaki glimpses a familiar woman on the platform opposite boarding a train. Later, her photo falls from a shelf as he exits his apartment before flying to Kōchi Prefecture. Picking it up, he looks at it briefly before leaving. As the aeroplane takes off he narrates the events that brought her into his life...",$0.00,72,,The sea can be heard
6905,12140,ja,イノセンス,15.533,3/6/2004,7.3,588,"['Animation', 'Drama', 'Science Fiction']",Groundbreaking director Mamoru Oshii continues to push the boundaries of art and anime with this universally acclaimed cyber thriller following cyborg detective Batou as he tries to unravel the reasons for a murderous robot revolt in the year 2032. A quest for a killer that becomes a mind bending search for the meaning of life.,"$9,789,651.00",100,"When machines learn to feel, who decides what is human...",Innocence
6931,20921,ja,キューティーハニー,15.375,5/29/2004,6.5,45,['Action'],"When Honey's uncle gets kidnapped by the evil criminal gang known as ""Panther Claw,"" she must use her magical powers of transformation (fueled by love) to save him. Meanwhile the same crime group has been responsible for a number of other crime sprees across Tokyo. In the process, Honey teams up with the seemingly cold police woman Natsuko Aki and hot shot journalist Seiji Hayami as well as battle the four ""claws"" of the Panther Claw gang to save her uncle and the rest of the city.",$0.00,94,,cutie Honey
6938,594188,ja,二ノ国,12.544,8/23/2019,6.7,178,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Romance']","Adapted from the video game series of the same name, NiNoKuni follows high school peers Yuu and Haru who must travel between two separate yet parallel worlds to help save their childhood friend, Kotona, whose life is in danger. In this magical quest complicated by love, the three teens will be tasked with making the ultimate choice.",$0.00,106,Choose your life,Ni no Kuni
6982,20722,ja,つみきのいえ,10.514,6/10/2008,8.0,342,"['Animation', 'Drama', 'Family']",La Maison en Petits Cubes tells the story of a grandfather's memories as he adds more blocks to his house to stem the flooding waters.,$0.00,12,,Tsumiki no
7041,71883,ja,レッドライン,11.747,5/27/2010,7.5,253,"['Animation', 'Action', 'Science Fiction']","The most dangerous and exciting car race in the universe is held only once every five years. And that's tonight. The competitors are lined up at the starting block. In his vehicle, JP, the most daredevil driver on the circuit, is ready for the green light. Female driver Sonoshee, with whom he is secretly in love, is also on the starting line. She will stop at nothing to get on to that podium. In this race, not only is anything possible, but also anything is allowed. In fact, their adversaries have modified their vehicles to equip them with highly destructive weapons; with such participants, it is hardly surprising that Redline is forbidden by the authorities, who will try anything to halt the proceedings.",$0.00,102,,Red line
7074,585077,ja,海獣の子供,15.504,6/7/2019,7.2,206,"['Animation', 'Fantasy', 'Adventure', 'Mystery']","Ruka is a young girl whose parents are separated and whose father works in an aquarium. When two boys, Umi and Sora, who were raised in the sea by dugongs, are brought to the aquarium, Ruka feels drawn to them and begins to realize that she has the same sort of supernatural connection to the ocean that they do. Umi and Sora's special power seems to be connected to strange events that have been occurring more and more frequently, such as the appearance of sea creatures far from their home territory and the disappearance of aquarium animals around the world. However, the exact nature of the boys' power and of the abnormal events is unknown, and Ruka gets drawn into investigating the mystery that surrounds her new friends.",$0.00,110,,Sea beast child
7124,37928,ja,センコロール,13.155,8/22/2009,6.1,31,"['Animation', 'Science Fiction']","A giant monster sends a town's citizens into a panic, except for a girl named Yuki and her schoolmate Tetsu. Tetsu happens to have his own strange creature named Cenco as a pet. Another boy named Shuu controls the monster threatening the town, and the stage is set for a battle.",$0.00,27,,Sencolor
7143,11948,ja,戦場のメリークリスマス,12.617,5/28/1983,7.4,296,"['Drama', 'History', 'War']","Island of Java, 1942, during World War II. British Major Jack Celliers arrives at a Japanese prison camp, run by the strict Captain Yonoi. Colonel John Lawrence, who has a profound knowledge of Japanese culture, and Sergeant Hara, brutal and simpleton, will witness the struggle of wills between two men from very different backgrounds who are tragically destined to clash.",$0.00,124,"Java, 1942— A clash of cultures, a test of the human spirit.",Merry Christmas on the battlefield
7185,334030,ja,忘れないと誓ったぼくがいた,10.13,3/28/2015,6.6,14,"['Drama', 'Romance', 'Fantasy']","Takashi Hayama is a third year high school student. He falls in love with Azusa Oribe at first sight and they begin to date.  One day, Azusa tells Takashi ""people who meet me, forget about me several hours later.""  Takashi doesn't believe Azusa, but by chance he realizes that he forgot about Azusa. So he won't forget Azusa, Takashi begins to leave a note for himself and Azusa.",$0.00,94,,I swore to remember
